0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,target
29.27521387,-0.147201106,-1.335186152,5.263773989,2.93368481,-14.61510827,7.565176626,-8.898977947,-16.1167673,7.206693426,6.308436552,-11.88443556,-20.80544842,-16.20975794,8.448254003,16.58528918,15.48672602,21.88092248,-7.613712058,-18.12737298,-15.16499829,-6.26354644,-2.585073701,-15.23299949,-2.571376127,15.53063742,-0.446271005,54.94742831,8.191821143,-8.411136363,1.513773136,33.4261561,6.083570954,9.601337979,16.22081262,32.3551653,-11.73981198,41.39106821,1.04253177,5.25869631,-22.1327631,3.754211389,1.955780441,-2.846820246,-2.59466663,-1.665765143,11.17828007,-7.645202546,4.77974345,0.896216062,1
43.96092263,-25.89057622,22.52438784,-3.134578804,32.60972847,-19.59802301,17.93908098,18.36185903,-21.75418996,-17.04674695,7.48258405,6.901275055,23.36747788,7.921009579,24.78201894,14.58285611,-16.25317126,-26.25958319,-17.43911392,-19.32082919,-8.938606357,-29.33417234,15.32428997,-22.24691223,28.4586784,17.68889649,34.70831914,27.7670372,2.77168117,16.92071458,-17.02353853,-3.894260453,22.32425479,-21.13321335,8.259979555,-15.65728913,9.93265073,-32.54885286,-1.721463372,1.362833097,0.13813356,-0.120588338,-3.840172801,8.638706678,3.88290475,-5.455156571,-0.468975869,-11.2776235,-0.663129439,-0.497319068,1
5.218204631,3.084408196,-27.80327865,-2.221283182,-5.707875898,-8.569673607,0.95158488,5.912481523,5.848389791,10.25764606,10.5749761,1.370314909,-13.22922184,-3.035784943,9.157440314,-3.483639248,9.56130525,4.604322313,6.910205503,19.26394801,6.740283615,11.13592212,-2.661092424,31.31861104,-13.59348872,8.79667283,13.83807674,12.85729632,25.11143284,0.809457863,13.72004071,3.176731156,1.479531755,28.37809972,-1.697143705,-19.39517924,-0.770326,-16.82208446,-13.5433478,-9.696652261,-7.863792297,-10.1124886,-3.959618198,13.06306559,54.58259414,-12.6248123,1.808988295,-4.303192012,17.54933963,8.711922551,1
-20.49416421,-18.12008335,-15.40120112,2.056117463,18.83485769,16.91138213,0.487602036,10.09579069,8.490111549,0.917253057,1.919621971,1.112564114,7.252044849,-6.919374984,3.721584778,-4.261877471,-0.123392891,-5.854218165,-4.915894279,-0.141782504,-9.847290939,-0.88176823,10.87522077,-7.547899484,2.177978866,2.317120211,-9.644228549,0.073076266,7.988703403,4.588353744,-0.505882858,-7.845261462,-11.01563781,-6.744091717,-10.95306835,-3.609506315,-3.954518715,-5.282136298,-1.712911509,-8.00096331,-3.280935467,-9.844179564,3.275873272,-4.053598657,-6.25284586,-7.054679183,10.60368163,-0.834758695,4.843700632,-1.522923212,1
3.769366263,-26.45303793,-16.90850733,12.51925541,2.70158913,-1.982461053,21.48489778,15.60788578,14.9419105,-12.43239322,-11.3380653,1.855372307,5.35520989,-3.521228137,12.19931716,-7.709480915,1.052026898,3.35190405,13.03869393,-7.957415136,2.464377975,2.323676009,-5.005529314,7.192764254,-5.781390959,7.806241148,3.578117205,-3.748947293,11.89341711,0.542615349,-0.030381174,-0.441147515,-17.67494964,-2.932344037,-9.255540316,8.898041028,-4.769157958,3.184802468,-6.127109189,-6.31414683,4.771414032,6.485967222,-3.365990008,6.606530633,-3.953705312,5.060606988,23.30544528,-2.619472598,-7.971621898,-25.33016882,1
10.00609811,-10.33348828,-24.1116734,23.13036322,3.303024209,-14.15623915,-11.42053004,2.625669799,0.603963079,-6.957843254,5.475636598,-1.056008943,15.15988988,7.462462002,-5.092182108,10.24057425,4.937545131,-1.937248036,0.258689032,10.1148141,-13.48727984,-0.813364627,-4.716041901,25.64337688,-3.607162544,-6.864167058,10.17320486,16.11725811,-1.339013236,-6.494269906,-32.63858739,3.707359726,-21.60384037,4.787583265,-5.361118258,-0.361564815,-9.785587895,10.56763495,2.895271083,-11.41017935,33.86489502,48.01312467,-13.44864403,21.31165083,-1.8780152,-11.93184432,-14.70458678,5.285573473,13.26977951,-4.204114733,1
-30.95573485,-15.73596627,-30.51500718,-1.854420623,8.622425348,14.2800439,-32.50980899,3.961778114,4.303349421,19.73719526,-4.986495552,28.81394508,7.904319897,-4.84643668,-1.925727138,-8.963768635,6.803268354,-27.58395521,-6.19435091,-11.3499727,-0.709410496,10.52135703,-9.995118098,-29.83781632,-19.5662734,-1.549673902,8.145135324,15.46483486,7.393905235,46.71366232,12.60927946,-23.6268205,-0.779544613,32.39252664,6.351360592,19.66385078,-5.357732388,-8.416762438,18.13403881,-25.84020805,1.57559371,1.618131892,-4.65270745,-13.0472881,-12.31858686,6.295492295,1.096592147,8.337012641,8.257739951,6.849428917,1
-13.71818892,0.3830785,-44.22693318,-4.606701084,-36.70447499,0.578178046,30.43943062,5.168021726,11.69458034,9.051689392,-22.52104424,7.104608303,10.40752481,19.01534601,6.961119258,3.374409353,-13.65379008,-3.051720306,-7.31626406,-6.437875512,-5.177833698,-5.744818149,7.948904644,-3.541109892,-12.15764713,-18.91298135,13.06865362,10.92337301,-0.10231352,9.697592796,-3.284025484,10.83920823,-12.05815747,-4.759891019,2.167273642,0.21588019,18.34712606,2.211632756,-10.04357656,-7.291700293,6.232699433,3.990234067,2.586019699,0.835092751,-5.233566246,10.4934015,-0.319617664,-16.6145677,-3.720754953,-2.85532406,1
30.27489804,-51.08617537,11.20790961,42.99306458,-15.88182725,8.79355829,-11.37483066,5.197400033,3.957758459,-1.599944876,32.73466423,6.438688171,-5.410452126,-19.84237945,-8.86537757,-0.148708491,-3.496942584,1.648947038,7.133533152,5.714960025,-13.28152964,-1.730007661,10.27489619,20.83680471,-6.436733897,0.908509846,3.616432168,5.24614351,-13.11091186,6.092197271,12.13822825,12.61198774,1.542595108,-20.32317724,9.259603617,12.87230885,4.454280855,-6.007529996,-16.15711067,7.015732333,8.155721488,-7.786937457,1.76371616,-15.64510884,-6.554521399,-19.06951052,2.035393456,0.00133986,18.93744413,8.360851731,1
15.56872633,-21.49485231,-9.168423197,20.2809212,36.2720887,-8.834380983,9.629683446,10.90056575,5.732246914,-27.66450918,-1.18610575,-4.303915104,0.079634933,-2.882086026,7.391803684,-9.58205255,1.096088452,-2.10094782,8.96461517,-2.068615733,3.532329596,3.298275505,-2.137888829,-6.956651094,-8.790138579,6.422386416,-2.660210433,-5.493693331,2.560642272,-4.751698328,-1.053603761,11.47935254,-8.29869206,4.544139573,-12.71106527,-1.240940597,-18.43403769,-14.46573253,0.873890445,-10.80241072,-16.4845511,1.429263076,1.102654047,16.99047492,-2.716282381,10.69896267,24.36142914,6.186809383,-21.61948623,3.492933227,1
